;rev_id;prediction
41601;803953141;Start
41602;803953524;Stub
41603;803954739;Stub
41604;803955392;Start
41605;803955866;Start
41606;803956502;Start
41607;803956760;Start
41608;803958141;Stub
41609;803960537;Stub
41610;803960663;Stub
41611;803961914;C
41612;803962675;Start
41613;803963084;Start
41614;803964174;C
41615;803964189;FA
41616;803965612;C
41617;803966337;Stub
41618;803966825;C
41619;803967246;GA
41620;803969836;C
41621;803970396;Start
41622;803970720;C
41623;803971492;Stub
41624;803972180;Start
41625;803972185;Start
41626;803972261;C
41627;803972330;C
41628;803973130;Stub
41629;803973415;B
41630;803974546;C
41631;803976134;C
41632;803976340;Start
41633;803976908;C
41634;803977146;Start
41635;803977666;Start
41636;803977784;C
41637;803977902;Stub
41638;803978207;Stub
41639;803978304;Stub
41640;803978387;Stub
41641;803978416;Stub
41642;803978640;Start
41643;803978866;Stub
41644;803978925;Stub
41645;803979531;Stub
41646;803980721;Start
41647;803981254;Start
41648;803981259;Stub
41649;803982655;C
41650;803983051;Start
41651;803983131;B
41652;803983301;Start
41653;803985886;Stub
41654;803986413;Stub
41655;803987067;C
41656;803988259;C
41657;803989013;Stub
41658;803989083;GA
41659;803991402;Stub
41660;803992334;Start
41661;803993760;Start
41662;803994295;Start
41663;803994416;Start
41664;803994547;C
41665;803994571;Stub
41666;803995478;C
41667;803997767;Start
41668;803998461;C
41669;803999163;C
41670;804003806;Start
41671;804003997;C
41672;804006863;FA
41673;804007882;Start
41674;804009781;Stub
41675;804010350;Start
41676;804010623;Stub
41677;804011932;Stub
41678;804012961;Start
41679;804014798;FA
41680;804015004;Start
41681;804016019;Start
41682;804016574;Stub
41683;804017918;Start
41684;804018099;Start
41685;804018714;C
41686;804018841;GA
41687;804027416;Start
41688;804027488;Start
41689;804030176;C
41690;804030279;C
41691;804032165;B
41692;804033853;Stub
41693;804035264;Start
41694;804035364;Start
41695;804036210;Start
41696;804037337;Start
41697;804037480;Stub
41698;804038363;Start
41699;804040348;Start
41700;804042739;Stub
41701;804043583;Stub
41702;804043646;GA
41703;804044053;Stub
41704;804044992;Start
41705;804045311;Stub
41706;804045962;Stub
41707;804050234;Stub
41708;804051107;Stub
41709;804051308;C
41710;804051406;C
41711;804051551;C
41712;804051970;Stub
41713;804052279;Stub
41714;804052443;Start
41715;804053178;Start
41716;804053612;Stub
41717;804054223;Start
41718;804054248;C
41719;804054957;Start
41720;804055261;C
41721;804057093;-1
41722;804057284;FA
41723;804058293;C
41724;804058441;Start
41725;804061342;GA
41726;804062907;Stub
41727;804064397;C
41728;804064963;Stub
41729;804065646;FA
41730;804066562;GA
41731;804067052;Start
41732;804067812;Start
41733;804068081;GA
41734;804068689;Start
41735;804068881;Start
41736;804069247;C
41737;804069464;Stub
41738;804069712;Stub
41739;804070511;Stub
41740;804070974;C
41741;804071133;C
41742;804071557;Start
41743;804072131;Stub
41744;804073508;Start
41745;804074233;C
41746;804075706;FA
41747;804076153;C
41748;804076685;Start
41749;804076877;Start
41750;804077347;Start
41751;804078772;C
41752;804080793;Stub
41753;804081210;Stub
41754;804081241;Start
41755;804081310;B
