;article_name;country;region;revision_id;article_quality;population
343;Um Nhanh;Cambodia;ASIA;749569686.0;Stub;15.497
344;Poa Try;Cambodia;ASIA;749570183.0;Stub;15.497
345;Yim Chhaily;Cambodia;ASIA;749683882.0;Stub;15.497
346;Ith Prang;Cambodia;ASIA;749704384.0;Stub;15.497
347;Try Chheang Huot;Cambodia;ASIA;749710492.0;Stub;15.497
348;Suk Sam Eng;Cambodia;ASIA;749945690.0;Stub;15.497
349;Nim Thot;Cambodia;ASIA;749967879.0;Stub;15.497
350;Ngin Khorn;Cambodia;ASIA;749970189.0;Stub;15.497
351;Sorn Inthor;Cambodia;ASIA;749977252.0;Stub;15.497
352;You Hockry;Cambodia;ASIA;750055098.0;Stub;15.497
353;Samrith Pech;Cambodia;ASIA;750074445.0;Stub;15.497
354;Un Neung;Cambodia;ASIA;750077042.0;Stub;15.497
355;Bou Thang;Cambodia;ASIA;750179637.0;Stub;15.497
356;Peter Khoy Saukam;Cambodia;ASIA;751227068.0;Start;15.497
357;Tuot Saron;Cambodia;ASIA;752967379.0;Start;15.497
358;Phoeurng Sackona;Cambodia;ASIA;752979708.0;Stub;15.497
359;Nhek Bun Chhay;Cambodia;ASIA;753086260.0;Stub;15.497
360;Cheam Yeab;Cambodia;ASIA;753684881.0;Stub;15.497
361;Chea Poch;Cambodia;ASIA;753689952.0;Stub;15.497
362;Chin Bun Sean;Cambodia;ASIA;753692176.0;Stub;15.497
